player,suggest_1,sugges_score_1,suggest_2,sugges_score_2,suggest_3,sugges_score_3
dvjjvpkr,dvayndgy,96.98826,dvaqjqbv,96.32017,jbawvlnn,94.48756
dvjlnaad,dvaqjqbv,96.32017,dvprpwvg,91.47887,ygzjybop,91.4405
dvjlporz,azormlbb,276.38262,oqjzrbnv,269.19387,nnpqdokz,191.11244
dvjlqbzj,dvlrdkbm,98.3139,azjoqmpa,97.33906,rbvzmlov,97
dvjmzdnv,gqanpbjk,94.20266,azlnyynr,92.92197,bbzrkjpg,91.53743
dvlddmvg,wqrbjgjq,98.33333,zgvldojv,97.56182,lvaoyyda,96.74506
dvlddrja,kpzowkno,278.66316,azojmzgj,266.03433,rbvzmlov,194
dvldwovv,bbzrkjpg,274.61229,oqjzrbnv,269.19387,vnygzgbg,200.03408
dvllbypy,wbynwpam,104.9241,bbvmwqln,99.24759,dpqmoonl,98.12618
dvlrdkbm,bbyzamap,259.10556,mbaaopdm,218.85444,zgpwqgja,196.24726
dvlzbono,mlzvarvq,193.1383,bbyzamap,172.73704,ygnwjdvo,165.35872
dvlzongz,dvlzrwon,93.26063,lvbbvwrv,92.70374,gqrbqdzn,92.43897
dvlzrbrv,mmrknamp,96.1053,pjbrmlnj,96.01408,gqanpbjk,94.20266
dvlzrgay,jbwryogj,96.66197,zgyqgjgg,93.55634,dvlzrwon,93.26063
dvlzrwon,zgyqgjgg,280.66902,pjrqzygz,265.85409,jbwryogj,193.32394
dvmpaopz,bbvmwqln,99.24759,wvyqblqj,98.76448,rbqqjwjr,97.97563
dvmpavmo,vnygzgbg,100.01704,zgvldojv,97.56182,kpnjdbwb,97.13916
dvmpnpvm,jbwryzkm,97.67948,jbvmydrz,96.95786,wqkvjdmo,96.62989
dvmpvzgb,gbvzjrrk,109.41393,wvnmkdrd,101.6,ygjjlnwq,97.75752
dvnbjalw,dvjjrvqn,94.32713,dvprvqor,92.86726,nnyygakb,92.10749
dvnbmlkj,dvayndgy,96.98826,dvaqjqbv,96.32017,jbawvlnn,94.48756
dvnlykpk,kpdkzrda,91.16915,pjgpnmyk,91.00807,dvnpmody,90.97233
dvnpmody,azyqnzlr,180.22066,kpdrqgrk,177.06226,bbyzamap,172.73704
dvpadgrl,oqjzrbnv,179.46258,wqkvjdmo,96.62989,azormlbb,92.12754
dvpawqjr,bbzrkjpg,183.07486,oqjzrbnv,179.46258,zgqjgkqk,178.99708
dvpmabro,oqjzrbnv,448.65645,azormlbb,276.38262,kprykabq,266.93688
dvpmlalz,bbzrkjpg,457.68715,oqjzrbnv,448.65645,azojmzgj,266.03433
dvpmlwag,dvpmabro,182.37082,oqjzrbnv,179.46258,bblgmdym,163.12322
dvpmyazz,ynowvogr,100.03521,nnywbjlv,98.66278,pryjgvrw,98.47265
dvprkgyd,bbzrkjpg,91.53743,dvprljnn,90.19447,nnvpdywa,89.43746
dvprljnn,bbzrkjpg,183.07486,azorkkqd,93.39906,azormlbb,92.12754
dvprpwvg,dvaqjqbv,96.32017,dvjlnaad,93.15962,ygzjybop,91.4405
dvprvqor,dvjjrvqn,94.32713,nnyygakb,92.10749,mmlpnkdd,90.68337
gbvzblpr,pwykgqbg,108.08349,jmqmodky,107.67136,kmljappy,107.41651
gbvzjrrk,wvnmkdrd,101.6,ygjjlnwq,97.75752,wqooymnp,97.36309
glkganwq,mmgwbyqz,180.54248,wvvnmrng,100.43349,vnyzdaqo,99.37332
glkkzlmg,koaagbaz,82.25202,dlkkbbwz,79.83646,rqppzowl,79.73433
gnbabyjj,gbvzjrrk,109.41393,wvnmkdrd,101.6,ygjjlnwq,97.75752
gnbaorzn,krmyjqkq,200.52018,rrokrgwl,198.5435,pjokygzp,190.34638
gnbaoyjo,ojwmllva,291.2583,ynozpqbr,197.49012,zgvldojv,195.12364
gndmbmag,nrbkylnj,187.53542,dpdgmzmo,187.22214,pjowzngv,97.77668
gnogarad,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
gnogavag,bbvmwqln,99.24759,rbvzzgva,98.33363,oqrwvjbq,98.00672
gnogayka,pjokwvqy,98.07582,krmbjjgv,95.71113,kpnmqjmj,95.40141
gnogrrgg,wvpjmvyn,95.94332,gnogwlky,95.0446,zqmkbrvy,94.84116
gnogwbla,wvpjmvyn,95.94332,gnogrrgg,95.86368,gnogwlky,95.0446
gnogwlky,wvpjmvyn,95.94332,gnogrrgg,95.86368,zqmkbrvy,94.84116
govlrqkna,mmrknamp,96.1053,pjbrmlnj,96.01408,gqanpbjk,94.20266
